run_date,ticker,options_volume_total,calls,puts,cp_ratio,options_baseline_status,zscore,ratio_to_median,oi_classification,price_last_close,price_chg_1d_pct,price_move_label,price_vs_options,sector,sector_wide,event_could_explain,flagged
2026-09-24,AAPL,818710,513772,304938,1.685,INSUFFICIENT_HISTORY,,,UNAVAILABLE,337.02,-0.8,FLAT,UNDETERMINABLE,Technology,UNAVAILABLE,False,False
2026-09-24,GOOGL,432844,322147,110697,2.91,INSUFFICIENT_HISTORY,,,UNAVAILABLE,337.83,-3.8,DOWN,UNDETERMINABLE,Communication Services,UNAVAILABLE,False,False
2026-09-24,MSFT,433617,312509,121108,2.58,INSUFFICIENT_HISTORY,,,UNAVAILABLE,500.59,0.52,FLAT,UNDETERMINABLE,Technology,UNAVAILABLE,False,False
2026-09-24,NVDA,1655275,1062520,592755,1.793,INSUFFICIENT_HISTORY,,,UNAVAILABLE,225.51,-1.47,FLAT,UNDETERMINABLE,Technology,UNAVAILABLE,True,False
2026-09-24,TSLA,1524748,878211,646537,1.358,INSUFFICIENT_HISTORY,,,UNAVAILABLE,380.12,0.32,FLAT,UNDETERMINABLE,Consumer Cyclical,UNAVAILABLE,True,False
2026-09-25,AAPL,1276795,765760,511035,1.498,INSUFFICIENT_HISTORY,,,OPENED,340.035,1.22,FLAT,UNDETERMINABLE,Technology,UNAVAILABLE,False,False
2026-09-25,GOOGL,428857,317833,111024,2.863,INSUFFICIENT_HISTORY,,,MIXED,344.0,0.48,FLAT,UNDETERMINABLE,Communication Services,UNAVAILABLE,False,False
2026-09-25,NBIS,173770,108371,65399,1.657,INSUFFICIENT_HISTORY,,,UNAVAILABLE,238.39,-2.09,FLAT,UNDETERMINABLE,Communication Services,UNAVAILABLE,False,False
2026-09-25,NVDA,2627327,1843950,783377,2.354,INSUFFICIENT_HISTORY,,,OPENED,223.75,-0.37,FLAT,UNDETERMINABLE,Technology,UNAVAILABLE,True,False
2026-09-25,PLTR,309162,169468,139694,1.213,INSUFFICIENT_HISTORY,,,UNAVAILABLE,191.25,-0.7,FLAT,UNDETERMINABLE,Technology,UNAVAILABLE,False,False
2026-09-25,TEAM,1936,1396,540,2.585,INSUFFICIENT_HISTORY,,,UNAVAILABLE,189.7324,-1.49,FLAT,UNDETERMINABLE,Technology,UNAVAILABLE,False,False
2026-09-25,TSLA,3057887,1991288,1066599,1.867,INSUFFICIENT_HISTORY,,,OPENED,372.04,-1.56,FLAT,UNDETERMINABLE,Consumer Cyclical,UNAVAILABLE,True,False
